date,subscription_id,resource_id,cost,currency
2026-08-11,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-11,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-11,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-12,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-12,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-12,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-12,sub-prod-001,prod-sql-01,240.00,CHF
2026-08-12,sub-prod-001,prod-storage-01,26.00,CHF
2026-08-12,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-12,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-12,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-13,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-13,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-13,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-13,sub-prod-001,prod-sql-01,240.00,CHF
2026-08-13,sub-prod-001,prod-storage-01,26.00,CHF
2026-08-13,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-13,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-13,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-14,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-14,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-14,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-14,sub-prod-001,prod-sql-01,240.00,CHF
2026-08-14,sub-prod-001,prod-storage-01,26.00,CHF
2026-08-14,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-14,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-14,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-15,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-15,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-15,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-15,sub-prod-001,prod-sql-01,240.00,CHF
2026-08-15,sub-prod-001,prod-storage-01,26.00,CHF
2026-08-15,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-15,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-15,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-16,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-16,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-16,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-16,sub-prod-001,prod-sql-01,240.00,CHF
2026-08-16,sub-prod-001,prod-storage-01,26.00,CHF
2026-08-16,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-16,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-16,sub-nonprod-001,test-sql-01,15.00,CHF
